Geography,National,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maine-1,Maine-2,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nebraska-1,Nebraska-2,Nebraska-3,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Ohio,0.018,0.0,0.004,0.012,0.002,0.004,0.003,0.002,0.003,0.0,0.01,0.013,0.0,0.0,0.001,0.004,0.004,0.0,0.0,0.0,0.002,0.002,0.005,0.006,0.004,0.014,0.006,0.0,0.003,0.006,0.008,0.0,0.004,0.0,0.01,0.004,0.001,0.006,0.004,0.013,0.004,0.748,0.002,0.006,0.015,0.003,0.003,0.0,0.005,0.008,0.004,0.001,0.004,0.006,0.001,0.014,0.0
Oklahoma,0.047,0.0,0.013,0.034,0.005,0.011,0.007,0.004,0.007,0.0,0.027,0.036,0.0,0.0,0.004,0.01,0.009,0.0,0.0,0.0,0.006,0.006,0.014,0.015,0.01,0.033,0.015,0.0,0.009,0.015,0.022,0.0,0.01,0.0,0.029,0.011,0.003,0.018,0.01,0.036,0.01,0.021,0.314,0.015,0.034,0.007,0.009,0.0,0.014,0.025,0.012,0.002,0.011,0.018,0.003,0.032,0.0
Oregon,0.028,0.0,0.007,0.018,0.002,0.007,0.005,0.003,0.004,0.0,0.014,0.018,0.0,0.0,0.002,0.005,0.005,0.0,0.0,0.0,0.003,0.003,0.008,0.009,0.006,0.017,0.009,0.0,0.004,0.008,0.011,0.0,0.005,0.0,0.016,0.007,0.002,0.008,0.007,0.018,0.005,0.011,0.003,0.631,0.02,0.004,0.004,0.0,0.006,0.012,0.007,0.001,0.007,0.011,0.001,0.018,0.0
Pennsylvania,0.007,0.0,0.002,0.004,0.001,0.002,0.001,0.001,0.001,0.0,0.004,0.004,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.002,0.002,0.002,0.005,0.002,0.0,0.001,0.002,0.003,0.0,0.001,0.0,0.004,0.002,0.0,0.002,0.002,0.005,0.001,0.003,0.001,0.002,0.91,0.001,0.001,0.0,0.002,0.003,0.002,0.0,0.002,0.002,0.0,0.005,0.0
Rhode Island,0.044,0.0,0.01,0.028,0.003,0.012,0.007,0.005,0.007,0.0,0.022,0.026,0.0,0.0,0.004,0.006,0.007,0.0,0.0,0.0,0.004,0.004,0.011,0.015,0.012,0.026,0.014,0.0,0.006,0.011,0.017,0.0,0.008,0.0,0.025,0.011,0.003,0.012,0.012,0.026,0.008,0.016,0.004,0.013,0.032,0.424,0.006,0.0,0.009,0.018,0.01,0.002,0.011,0.016,0.002,0.028,0.0
South Carolina,0.041,0.0,0.01,0.029,0.004,0.009,0.006,0.004,0.007,0.0,0.025,0.033,0.0,0.0,0.003,0.008,0.008,0.0,0.0,0.0,0.005,0.005,0.013,0.014,0.009,0.03,0.013,0.0,0.008,0.012,0.017,0.0,0.009,0.0,0.024,0.01,0.003,0.015,0.009,0.033,0.008,0.019,0.006,0.013,0.031,0.006,0.404,0.0,0.013,0.02,0.01,0.002,0.01,0.015,0.002,0.028,0.0
South Dakota,0.066,0.0,0.018,0.047,0.006,0.015,0.01,0.006,0.01,0.0,0.036,0.047,0.0,0.0,0.005,0.014,0.016,0.0,0.0,0.0,0.009,0.009,0.023,0.019,0.014,0.049,0.024,0.0,0.013,0.024,0.034,0.0,0.017,0.0,0.039,0.017,0.004,0.023,0.013,0.048,0.017,0.032,0.009,0.022,0.054,0.01,0.012,0.0,0.019,0.033,0.017,0.003,0.015,0.025,0.004,0.054,0.0
Tennessee,0.031,0.0,0.007,0.021,0.003,0.007,0.004,0.003,0.005,0.0,0.017,0.024,0.0,0.0,0.002,0.006,0.006,0.0,0.0,0.0,0.004,0.004,0.009,0.009,0.006,0.022,0.01,0.0,0.006,0.009,0.013,0.0,0.007,0.0,0.018,0.007,0.002,0.01,0.006,0.024,0.006,0.014,0.004,0.01,0.023,0.005,0.006,0.0,0.563,0.015,0.007,0.001,0.007,0.011,0.002,0.022,0.0
Texas,0.013,0.0,0.003,0.009,0.001,0.004,0.002,0.001,0.002,0.0,0.007,0.01,0.0,0.0,0.001,0.002,0.002,0.0,0.0,0.0,0.001,0.001,0.003,0.004,0.003,0.007,0.004,0.0,0.002,0.003,0.005,0.0,0.002,0.0,0.008,0.002,0.001,0.004,0.003,0.008,0.002,0.005,0.001,0.004,0.008,0.002,0.002,0.0,0.003,0.837,0.003,0.0,0.003,0.004,0.0,0.007,0.0
Utah,0.025,0.0,0.007,0.017,0.002,0.007,0.005,0.003,0.004,0.0,0.013,0.018,0.0,0.0,0.002,0.004,0.005,0.0,0.0,0.0,0.003,0.003,0.008,0.009,0.006,0.015,0.009,0.0,0.004,0.007,0.011,0.0,0.006,0.0,0.014,0.007,0.002,0.007,0.006,0.016,0.005,0.009,0.003,0.008,0.017,0.004,0.004,0.0,0.006,0.013,0.651,0.001,0.007,0.011,0.001,0.016,0.0
